technology_id,country,phase,category,input,unit,quantity,cost_per_unit,total_cost,currency,total_cost_usd,pct_borne_by_land_users
1000,TJ,establishment,equipment,tools,ha,1.0,10.0,10.0,USD,10.0,100.0
1000,TJ,establishment,plant_material,seeds,ha,1.0,30.0,30.0,USD,30.0,100.0
1000,TJ,maintenance,labour,harrowing of land,ha,1.0,18.0,18.0,USD,18.0,100.0
1000,TJ,maintenance,labour,haymaking,ha,1.0,12.0,12.0,USD,12.0,100.0
1001,TJ,establishment,labour,land levelling,ha,1.0,45.0,45.0,USD,45.0,100.0
1001,TJ,establishment,equipment,tools,ha,1.0,25.0,25.0,USD,25.0,100.0
1001,TJ,establishment,equipment,machine for land levelling,ha,1.0,150.0,150.0,USD,150.0,
1001,TJ,establishment,plant_material,seedlings,ha,1.0,250.0,250.0,USD,250.0,100.0
1001,TJ,maintenance,labour,ploughing of area,ha,1.0,20.0,20.0,USD,20.0,100.0
1001,TJ,maintenance,labour,sowing and weeding,ha,1.0,18.0,18.0,USD,18.0,
1001,TJ,maintenance,labour,pruning of fruit trees,ha,1.0,30.0,30.0,USD,30.0,
1001,TJ,maintenance,labour,spraying trees with biocides,ha,1.0,12.0,12.0,USD,12.0,
1001,TJ,maintenance,plant_material,seeds,ha,1.0,30.0,30.0,USD,30.0,100.0
1001,TJ,maintenance,plant_material,,,,1.0,,USD,,
1001,TJ,maintenance,fertilizers_biocides,fertilizer,ha,1.0,50.0,50.0,USD,50.0,100.0
1001,TJ,maintenance,fertilizers_biocides,biocides,ha,1.0,10.0,10.0,USD,10.0,100.0
1001,TJ,maintenance,fertilizers_biocides,compost/manure,ha,1.0,40.0,40.0,USD,40.0,100.0
1002,TJ,establishment,labour,thinning and clearing of tree rows,ha,1.0,6.0,6.0,USD,6.0,100.0
1002,TJ,establishment,equipment,tools,ha,1.0,25.0,25.0,USD,25.0,100.0
1002,TJ,maintenance,labour,sowing and weeding,ha,1.0,18.0,18.0,USD,18.0,100.0
1002,TJ,maintenance,labour,pruning of fruit trees,ha,1.0,45.0,45.0,USD,45.0,100.0
1002,TJ,maintenance,labour,cutting of twiggs affe,ha,1.0,15.0,15.0,USD,15.0,100.0
1002,TJ,maintenance,equipment,machine use,ha,1.0,20.0,20.0,USD,20.0,100.0
1002,TJ,maintenance,plant_material,seeds,ha,1.0,30.0,30.0,USD,30.0,100.0
1002,TJ,maintenance,fertilizers_biocides,fertilizer,ha,1.0,50.0,50.0,USD,50.0,100.0
1002,TJ,maintenance,fertilizers_biocides,compost/manure,ha,1.0,40.0,40.0,USD,40.0,100.0
1003,TJ,maintenance,labour,digging of drainage ditch,ha,1.0,1.0,1.0,USD,1.0,
1003,TJ,maintenance,labour,clearing of drainage ditch from washed in soil,ha,1.0,3.0,3.0,USD,3.0,
1004,SY,establishment,labour,Labour,ha,1.0,50.0,50.0,syrian pounds,1.0,100.0
1004,SY,establishment,equipment,Machine use,ha,1.0,50.0,50.0,syrian pounds,1.0,100.0
1004,SY,establishment,construction_material,Earth,ha,1.0,100.0,100.0,syrian pounds,2.0,100.0
1004,SY,establishment,other,Transport,ha,1.0,100.0,100.0,syrian pounds,2.0,
1005,SY,establishment,labour,Construction (10 person days),ha,1.0,50.0,50.0,,,100.0
1005,SY,establishment,equipment,Machine use,ha,1.0,10.0,10.0,,,100.0
1005,SY,establishment,equipment,Tools,ha,1.0,3.0,3.0,,,100.0
1005,SY,establishment,construction_material,Terre (disponible in-situ),ha,,,,,,
1005,SY,maintenance,labour,Repair (5 person days),ha,1.0,25.0,25.0,,,100.0
1006,CH,establishment,equipment,Streifenfräse,Machine,1.0,42000.0,42000.0,Swiss Franc,37168.14,100.0
1006,CH,establishment,equipment,Tractor,Machine,1.0,115000.0,115000.0,Swiss Franc,101769.91,100.0
1006,CH,maintenance,labour,"tillage of stripes, seeding,",ha,1.0,393.0,393.0,Swiss Franc,347.79,100.0
1006,CH,maintenance,labour,appliance of total herbicide,ha,1.0,88.0,88.0,Swiss Franc,77.88,100.0
1006,CH,maintenance,fertilizers_biocides,Biocides,ha,1.0,53.0,53.0,Swiss Franc,46.9,100.0
1007,CH,establishment,equipment,Direct seeding machine,Machine,1.0,278000.0,278000.0,Swiss Franc,257407.41,100.0
1007,CH,maintenance,labour,Seeding,ha,1.0,185.0,185.0,Swiss Franc,171.3,100.0
1007,CH,maintenance,labour,Spreading of snail poison,ha,1.0,46.0,46.0,Swiss Franc,42.59,100.0
1007,CH,maintenance,fertilizers_biocides,Biocides,ha,1.0,56.0,56.0,Swiss Franc,51.85,100.0
1007,CH,maintenance,other,Appliance of herbicide,ha,1.0,93.0,93.0,Swiss Franc,86.11,100.0
1008,CH,establishment,labour,applying round-up,ha,1.0,97.0,97.0,Swiss Franc,89.81,100.0
1008,CH,establishment,labour,maize strip tillage,ha,1.0,388.0,388.0,Swiss Franc,359.26,100.0
1008,CH,establishment,equipment,Tools,ha,1.0,56300.0,56300.0,Swiss Franc,52129.63,100.0
1009,CH,establishment,equipment,120 PS tractor,Farm,1.0,126000.0,126000.0,,,100.0
1009,CH,establishment,equipment,Machine for maize strip tillage,Farm,1.0,165000.0,165000.0,,,100.0
