technology_id,country,name,currency_base,currency_other,exchange_rate_per_usd,labour_day_cost_raw,calculation_base,calculation_unit,hectare_conversion_factor,establishment_labour_usd,establishment_equipment_usd,establishment_plant_material_usd,establishment_fertilizers_biocides_usd,establishment_construction_material_usd,establishment_other_usd,establishment_total_usd,establishment_n_items,establishment_total_estimation_reported,establishment_other_funding,maintenance_labour_usd,maintenance_equipment_usd,maintenance_plant_material_usd,maintenance_fertilizers_biocides_usd,maintenance_construction_material_usd,maintenance_other_usd,maintenance_total_usd,maintenance_n_items,maintenance_total_estimation_reported,maintenance_other_funding,costbenefit_establishment_short,costbenefit_maintenance_short,costbenefit_establishment_long,costbenefit_maintenance_long,cost_assumptions
1000,TJ,Perennial Herbaceous Fodder Plants for Intact Canopy Cover,USD,,,3.00,,,,,10.0,30.0,,,,40.0,2,,,30.0,,,,,,30.0,2,,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,"costs per hectare under following assumptions: esparzet: 50kg/ha (price per kg: 0.65 USD) or 
alfa alfa: 15kg/ha (price per kg: 2 USD)"
1001,TJ,Orchard-based Agroforestry (establishment of orchard),USD,,,3.00,,,,45.0,175.0,250.0,,,,470.0,4,,,80.0,,30.0,100.0,,,210.0,9,,,NEUTRAL,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,"Number of trees planted: since the establishment and maintainance require considerable financial and labour inputs; expenditures for tree seedlings bought from the market: N.B. if nursing the trees is completed by land user himself, establishment costs can be halved."
1002,TJ,Orchard-based Agroforestry (intercropping),USD,,,3.00,,,,6.0,25.0,,,,,31.0,2,,,78.0,20.0,30.0,90.0,,,218.0,7,,,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,"The number of trees influences costs considerably, since orchard management is labour and input intensive"
1003,TJ,Buffer Strip on Steep Sloping Cropland,USD,,,3.00,,,,,,,,,,,0,,,4.0,,,,,,4.0,2,,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,"If the technology is not established at the point of the initial cultivation of the cropland, grass clods will need to be transplanted which considerably increases the establishment costs"
1004,SY,Adding Soil,other,syrian pounds,50.0,5.00,,,,1.0,1.0,,,2.0,2.0,6.0,4,,,,,,,,,,0,,,SLIGHTLYNEGATIVE,VERYPOSITIVE,POSITIVE,VERYPOSITIVE,"labour, distance, transport, probably in the future also value of soil"
1005,SY,Furrow-enhanced runoff harvesting for olives,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,POSITIVE,,,
1006,CH,Maize strip tillage,other,Swiss Franc,1.13,,,,,,138938.05,,,,,138938.05,2,,,425.67,,,46.9,,,472.57,3,,,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,The machine is very expensive. In addition a strong tractor is needed (ca. 150hp). Thats why most farmer task a contractor with the seeding. In this case no initial investment needs to be done. The machine in this case study is used for about 60ha per year. A bigger workload would be possible.
1007,CH,Direct seeding,other,Swiss Franc,1.08,,,,,,257407.41,,,,,257407.41,1,,,213.89000000000001,,,51.85,,86.11,351.85,4,,,NEGATIVE,POSITIVE,,,"The most important factor is whether a direct seeding machine can be rented in locally, because this represents a major investment."
1008,CH,Maize strip tillage,other,Swiss Franc,1.08,194.00,,,,449.07,52129.63,,,,,52578.7,3,,,,,,,,,,0,,,NEGATIVE,SLIGHTLYPOSITIVE,POSITIVE,POSITIVE,Labour costs and costs for diesel are much higher for the traditional technology (plough). The investment for the technology are high in the first term and the labour costs indicated above are given by the contractor if he is hired. So for a regular farmer only these 388 USD are relevant.
1009,CH,Maize strip tillage,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,,,
1010,CH,Maize strip tillage,other,Swiss Franc,1.08,194.00,,,,,,,,,,,0,,,,,,,,,,0,,,NEGATIVE,SLIGHTLYNEGATIVE,POSITIVE,POSITIVE,"Labour costs might seem high for a farmer if he delegates the establishment to a contractor. In comparison to the traditional cultivation system the contractor would ask about $240 for ploughing , $185 for harrowing , $92 for seeding, $70 for biocide and $46 for fertilizer per ha. Therefore using maize strip tillage is almost a third less expensive than the traditional cultivation. Most of the farmers that hire the contractor are applying the biocides themselves when using maize strip tillage, which makes the costs even lower."
1011,CH,Contour small bench terraces with permanent green cover in vineyards,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,VERYNEGATIVE,SLIGHTLYNEGATIVE,NEUTRAL,NEUTRAL,(manual) labour
1012,CL,No tillage preceded by subsoiling,USD,,,,,,,50.0,130.0,,,,,180.0,3,,,20.0,60.0,50.0,194.0,,,324.0,5,,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,Availability of machinery is the most determining factor affecting the costs.
1013,TN,Jessour,other,TD,1.3,10.00,,,,923.08,,615.38,,769.23,,2307.69,3,,,307.69,,153.85,,230.77,,692.31,3,,,VERYNEGATIVE,NEUTRAL,VERYPOSITIVE,POSITIVE,"Found in inaccessible and even remote areas, labour is the most determining factors affecting the costs of this system."
1014,TR,Drip irrigation,other,turkish lira,2.0,25.00,,,,50.0,,,,,1000.0,1050.0,2,,,50.0,,,,,100.0,150.0,2,,,NEGATIVE,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,"The main network of hard PVC pipes, pressure indicators, main distributor, and labour force are the main costs."
1015,TR,Fodder Crop Production,other,YTL,1.3,20.00,,,,,38.46,,,,,38.46,1,,,230.77,153.85,538.45,,,,923.07,7,,,POSITIVE,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,"Certified seed material and tillage costs (e.g. oil, machines) are the most determining factors affecting the costs."
1016,TJ,Drainage Ditches in Steep Sloping Cropland,USD,,,3.00,,,,3.0,5.0,,,,,8.0,2,,,21.0,,,,,,21.0,2,,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,
1017,TJ,Orchard-based agroforestry,USD,,,,,,,80.0,130.0,250.0,110.0,,,570.0,8,,,65.0,60.0,30.0,65.0,,,220.0,9,,,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,
1018,CH,Green cover in vineyards,other,Swiss Franc,0.75,,,,,18400.0,1333.33,,266.67,,,20000.0,7,,,2000.0,866.67,,200.0,,,3066.67,6,,,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,"Labour is the major cost component, since wage levels are very high in Switzerland."
1019,ES,Ecological production of almonds and olives using green manure,other,EURO,0.63,79.00,,,,,,,,,,,0,,,39.68,114.29,152.38,377.78,,,684.13,5,,,NEUTRAL,SLIGHTLYNEGATIVE,NEUTRAL,SLIGHTLYPOSITIVE,"Fuel price, ecological pesticides and organic fertilizer are the most determining factors affecting the costs."
1020,PH,"In ""situ"" Decomposition of Banana Stalk",,,,5.00,,,,,,,,,,,0,,,,,,,,,,2,,,SLIGHTLYPOSITIVE,SLIGHTLYPOSITIVE,SLIGHTLYPOSITIVE,SLIGHTLYPOSITIVE,Based on the plant population per hectare.
1021,PH,Conservation Tillage Practices for Corn Production,USD,,,5.00,area,,,347.6,,30.0,63.6,,100.0,541.2,9,,,,,,,,,,0,,,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,Land cultivation- zero tillage offset the costs incurred during land preparation. Labor costs for hand tractor and carabao-drawn plows are substituted by costs of spraying POWER herbicide which is significantly less expensive
1022,NI,Vermiculture,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,
1023,CO,Intensive agroforestry system,other,Pesos Colombianos,,5.00,,,,,,,,,,,4,,,,,,,,,,2,,,POSITIVE,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,"piedras, pendiente, e mano de obra no porque los trabajos pesados se realizan en minga (grupo)"
